id,lat,lon
01FC,44.21649,12.11599
01FE,44.92699,11.49234
01MO,44.69159,11.09116
01PC,45.06643,9.849673
01PR,44.93952,10.16197
01RA,44.49689,12.05063
01RE,44.75616,10.68437
01RN,44.04876,12.42414
02BO,44.7772,11.2126
02FC,44.17459,12.25525
02FE,44.87847,11.48903
02MO,44.608,11.066
02PC,44.98298,9.804312
02PR,44.89195,10.19404
02RA,44.50894,11.93173
02RE,44.84205,10.56351
02RN,44.13685,12.47586
03BO,44.71299,11.18569
03FC,44.16277,12.26205
03FE,44.82806,11.55444
03MO,44.73117,10.88812
03PC,44.97315,9.827737
03PR,44.94553,10.28301
03RA,44.50114,11.91794
03RE,44.9528,10.70195
03RN,44.04861,12.42419
04BO,44.70562,11.17163
04FC,44.22995,12.1197
04FE,44.80425,11.42397
04MO,44.8966,10.93702
04PC,44.99081,9.844711
04PR,44.86208,10.3269
04RA,44.43853,11.88481
04RE,44.86685,10.65061
05BO,44.68996,11.16705
05FC,44.16963,12.23541
05FE,44.87666,11.69041
05MO,44.686,10.878
05PC,44.98642,9.997245
05PR,44.86412,10.41487
05RA,44.47046,12.17902
05RE,44.87249,10.79276
06BO,44.5206,11.22241
06FC,44.1833,12.20556
06FE,44.81143,11.74626
06MO,44.80028,10.99513
06PC,45.02227,9.979513
06PR,44.92094,10.47449
06RA,44.34959,11.79625
06RE,44.80436,10.76242
07BO,44.68361,11.22785
07FC,44.20346,12.19546
07FE,44.69121,11.67389
07MO,44.7201,10.84489
07PC,45.05468,9.962376
07PR,44.83882,10.26141
07RA,44.32757,11.81104
07RE,44.66489,10.6996
08BO,44.64796,11.26741
08FC,44.25026,12.11382
08FE,44.88913,11.91084
08MO,44.59675,10.95342
08PC,44.94858,9.951436
08PR,44.83579,10.25311
08RA,44.35877,11.81139
08RE,44.74693,10.54707
09BO,44.58562,11.29666
09FC,44.15202,12.22323
09FE,44.91958,12.02133
09MO,44.68288,10.96349
09PC,45.02079,9.993501
09PR,44.89707,10.43067
09RA,44.36659,12.00932
09RE,44.75777,10.49547
10BO,44.58705,11.20245
10FC,44.20309,12.21508
10FE,44.91254,11.90226
10MO,44.71048,11.11533
10PC,45.01211,9.98173
10PR,44.95863,10.08753
10RA,44.48908,11.98857
10RE,44.83673,10.45903
11BO,44.58601,11.20117
11FC,44.15952,12.37267
11FE,44.88826,11.99398
11MO,44.70282,11.05855
11PC,45.10843,9.965459
11PR,44.98581,10.14297
11RA,44.24892,12.28324
11RE,44.80837,10.78465
12BO,44.57874,11.19201
12FC,44.26061,12.04005
12FE,44.8413,11.81909
12MO,44.87106,11.10391
12PR,44.97355,10.29396
12RA,44.4875,11.94778
12RE,44.74878,10.62593
13BO,44.61092,11.12759
13FC,44.16574,12.26543
13FE,44.7375,11.84632
13MO,44.85501,11.34008
13PC,45.05529,9.96351
13RA,44.29011,12.16204
13RE,44.76897,10.63355
14BO,44.73631,11.34273
14FC,44.15712,12.22527
14FE,44.74786,11.94256
14MO,44.86981,11.04015
14RA,44.36347,12.13091
14RE,44.77318,10.62863
15BO,44.65548,11.47351
15FC,44.21595,12.26323
15FE,44.77344,12.07013
15MO,44.73614,10.97918
15RA,44.44004,11.78564
15RE,44.78185,10.64294
16BO,44.54951,11.40899
16FE,44.7076,11.89573
16MO,44.74375,10.86629
16RA,44.53621,12.14113
16RE,44.7392,10.70191
17BO,44.55473,11.43087
17FE,44.68754,11.80109
17MO,44.80946,10.82747
17RA,44.43974,12.05312
17RE,44.8064,10.78038
18BO,44.65662,11.62712
18FE,44.67894,12.0319
18MO,44.8956,11.11993
18RA,44.55661,11.88284
18RE,44.68555,10.70109
19BO,44.57084,11.53389
19FE,44.61864,11.87541
19MO,44.90715,11.14039
19RA,44.5473,12.2163
19RE,44.95078,10.70477
20BO,44.58545,11.62623
20FE,44.60086,12.07741
20MO,44.83357,10.96196
20RA,44.46604,12.20703
20RE,44.66712,10.69883
21BO,44.51212,11.55721
21FE,44.88015,12.25171
21MO,44.84114,10.97655
21RA,44.31544,12.25038
21RE,44.86942,10.47452
22BO,44.59124,11.72723
22FE,44.8232,12.22489
22MO,44.84098,11.00301
22RA,44.53955,11.82394
23BO,44.5681,11.76274
23FE,44.82031,12.1692
23RA,44.55617,11.84606
24BO,44.45097,11.64335
24FE,44.72731,12.19458
24MO,44.89462,11.17988
24RA,44.25936,12.20563
25BO,44.41699,11.71807
25FE,44.68095,12.11689
25MO,44.91616,11.19163
25RA,44.42826,11.94756
26BO,44.40063,11.72379
26FE,44.8908,12.17577
26MO,44.92057,10.9879
26RA,44.55205,12.26874
27BO,44.65366,11.36098
27FE,44.82414,12.22216
27MO,44.77618,11.00779
28BO,44.42672,11.57851
28FE,44.74195,11.60788
29FE,44.95794,11.78122
29MO,44.70985,11.04446
30BO,44.64668,11.16195
30FE,44.94456,11.78922
30MO,44.65165,11.04006
31FE,44.93454,12.03378
31MO,44.91662,11.04801
32BO,44.71347,11.20613
32FE,44.66777,11.76574
32MO,44.59899,11.03321
33BO,44.55599,11.42488
33FE,44.76286,11.82352
34BO,44.71232,11.54679
34FE,44.91525,11.37504
35BO,44.39859,11.72593
35FE,44.76989,12.08611
36BO,44.41521,11.74776
36FE,44.76616,11.81365
37FE,44.94392,11.75486
38FE,44.84072,12.21547
39FE,44.82019,12.16947
40FE,44.89097,12.1746
41FE,44.87459,11.65164
